active_employee,active_self_employed,active_unemployed,Inactive
0.104894,0.117725,0.044577,0.257407
0.099944,0.074165,0.048862,0.224875
0.127362,0.074209,0.062713,0.248122
0.121852,0.083925,0.065642,0.229894
0.111055,0.107219,0.056133,0.267744
0.112181,0.115429,0.055336,0.232135
0.089297,0.09587,0.042168,0.240853
0.102071,0.121681,0.045798,0.190499
0.090028,0.106956,0.048323,0.235149
0.113201,0.104159,0.04557,0.218204
0.098896,0.115232,0.046358,0.230022
0.097609,0.102636,0.038627,0.2374
0.108638,0.103909,0.037836,0.232438
0.100524,0.113837,0.031862,0.217053
0.095918,0.096501,0.03863,0.236297
0.10148,0.103111,0.046162,0.223031
0.125391,0.093932,0.040555,0.25451
0.095745,0.119538,0.038206,0.201784
0.104069,0.103583,0.045561,0.234326
0.089077,0.133309,0.040546,0.197567
0.105829,0.095779,0.042568,0.261913
0.102263,0.100387,0.037997,0.260467
0.097954,0.112404,0.035934,0.205627
0.105643,0.096077,0.040482,0.275198
0.11076,0.089355,0.043241,0.272231
0.099717,0.104021,0.043526,0.237674
0.100085,0.10108,0.042792,0.237703
0.1074,0.08769,0.041662,0.281718
0.121809,0.081393,0.048701,0.28661
0.115918,0.089486,0.047549,0.276728
0.107051,0.096592,0.040851,0.25483
0.120504,0.0714,0.049104,0.269144
0.097363,0.111151,0.040881,0.248428
0.070869,0.10244,0.024285,0.208632
0.059345,0.127917,0.020445,0.387733
0.079538,0.111625,0.028144,0.214956
0.056579,0.124396,0.022998,0.272442
0.085355,0.117223,0.034609,0.191008
0.073822,0.101175,0.027903,0.185324
0.109259,0.132523,0.033333,0.263426
0.107184,0.13708,0.042642,0.209386
0.079418,0.113225,0.027389,0.172358
0.074475,0.118212,0.020289,0.284413
0.075977,0.107147,0.026909,0.210033
0.114652,0.1053,0.041335,0.252396
0.119756,0.117536,0.040067,0.257936
0.108882,0.096009,0.041729,0.255739
0.092051,0.11453,0.023232,0.280799
0.084186,0.108372,0.031744,0.231628
0.10712,0.121488,0.035814,0.263671
0.12008,0.096363,0.036074,0.260289
0.122606,0.091292,0.043719,0.275322
0.102553,0.101541,0.026088,0.250197
0.099398,0.104663,0.025946,0.285786
0.108243,0.105303,0.037134,0.293368
0.109124,0.11939,0.035563,0.250423
0.113364,0.095263,0.031651,0.284857
0.109077,0.092178,0.024965,0.274869
0.110131,0.117914,0.048126,0.257621
0.123355,0.092928,0.043037,0.315515
0.128808,0.095212,0.041893,0.304679
0.136206,0.081029,0.041293,0.312747
0.127211,0.080486,0.049966,0.305739
0.120976,0.119737,0.051758,0.257306
0.125417,0.10605,0.049686,0.289301
0.128417,0.08809,0.049649,0.316644
0.125445,0.124585,0.058607,0.25384
0.132155,0.086168,0.045093,0.314403
0.123304,0.082003,0.041999,0.321429
0.11555,0.101031,0.051968,0.248423
0.127612,0.085231,0.04602,0.323668
0.133623,0.122243,0.044697,0.29282
0.111354,0.111217,0.045306,0.289438
